City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Port Blair,IN,83.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
192,Thap Khlo,TH,82.49,overcast clouds,16.16,100.5966,Kaosai Country Club
193,Carupano,VE,75.97,clear sky,10.6678,-63.2585,Hotel La dorada
194,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
201,Hayden,US,89.26,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
204,Sulangan,PH,84.94,overcast clouds,11.1373,123.7228,Maia's Beach Resort
206,Kathu,TH,85.69,light rain,7.9178,98.3332,Novotel Phuket Resort
208,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
210,Vanavara,RU,77.72,overcast clouds,60.34,102.2797,
211,Biak,ID,82.51,overcast clouds,-0.9131,122.8766,Penginapan Kim
222,Acapulco de Juárez,MX,79.38,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
225,Khatanga,RU,76.23,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
227,Waddān,LY,85.15,clear sky,29.1614,16.139,محل الشريف محمد العايب
231,Ratnagiri,IN,81.91,overcast clouds,16.9833,73.3,Hotel Landmark
232,Najrān,SA,88.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
236,Kavieng,PG,84.72,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
244,Portland,US,89.64,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
245,Wārāseonī,IN,76.62,overcast clouds,21.75,80.0333,Thakre Bhavan
246,St. George's,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
248,Pedasí,PA,79.81,overcast clouds,7.5333,-80.0333,Selina Pedasi
251,São Filipe,CV,76.98,overcast clouds,14.8961,-24.4956,Hotel Xaguate
254,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
255,Eyl,SO,79.59,few clouds,7.9803,49.8164,Amiin Hotel
258,Talnakh,RU,79.47,clear sky,69.4865,88.3972,Talnakh Hotel
262,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
264,Aloleng,PH,83.7,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
266,Derzhavīnsk,KZ,79.95,few clouds,51.1,66.3167,Ooo.khim Baza
271,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
274,Zhezkazgan,KZ,84.49,clear sky,47.8043,67.7144,Hotel Zumrat
276,Mareeba,AU,77.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
278,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
281,Sweetwater,US,84.02,overcast clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
287,Düzce,TR,75.81,clear sky,40.8389,31.1639,Gösteri̇şli̇ Otel
291,Sherman,US,82.42,clear sky,33.6357,-96.6089,La Quinta Inn & Suites by Wyndham Sherman
293,Aswān,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
296,Hobyo,SO,77.0,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
297,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
300,Prome,MM,77.36,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
304,Ranong,TH,85.93,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
305,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
306,Gorontalo,ID,88.47,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
307,Coahuayana Viejo,MX,79.09,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
308,Laguna,US,86.5,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
311,Bambanglipuro,ID,84.85,few clouds,-7.95,110.2833,Puri Brata
312,Baykit,RU,81.01,broken clouds,61.67,96.37,
316,Xinzhou,CN,87.1,scattered clouds,38.4092,112.7333,Shell Hotel - Xinzhou
318,College,US,82.38,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
320,Anloga,GH,77.22,light rain,5.7947,0.8973,Pin Drop Hotel
322,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
